Date, Organic keywords: 1–3, Organic keywords: 4–10
2024-07-14, 31, 65
2024-07-15, 32, 64
2024-07-16, 31, 65
2024-07-17, 32, 65
2024-07-18, 31, 65
2024-07-19, 32, 62
2024-07-20, 32, 62
2024-07-21, 32, 62
2024-07-22, 28, 65
2024-07-23, 29, 62
2024-07-24, 30, 61
2024-07-25, 28, 62
2024-07-26, 28, 58
2024-07-27, 28, 58
2024-07-28, 29, 57
2024-07-29, 30, 53
2024-07-30, 29, 52
2024-07-31, 29, 50
2024-08-01, 28, 50
2024-08-02, 28, 50
2024-08-03, 28, 50
2024-08-04, 28, 50
2024-08-05, 27, 51
2024-08-06, 27, 52
2024-08-07, 27, 50
2024-08-08, 27, 49
2024-08-09, 26, 50
2024-08-10, 26, 49
2024-08-11, 26, 49
2024-08-12, 24, 51
2024-08-13, 24, 50
2024-08-14, 24, 50
2024-08-15, 25, 49
2024-08-16, 24, 49
2024-08-17, 22, 51
2024-08-18, 23, 52
2024-08-19, 23, 52
2024-08-20, 22, 53
2024-08-21, 22, 53
2024-08-22, 21, 54
2024-08-23, 21, 55
2024-08-24, 22, 55
2024-08-25, 22, 56
2024-08-26, 22, 57
2024-08-27, 21, 58
2024-08-28, 21, 58
2024-08-29, 21, 56
2024-08-30, 23, 57
2024-08-31, 20, 57
2024-09-01, 20, 56
2024-09-02, 20, 55
2024-09-03, 20, 56
2024-09-04, 20, 57
2024-09-05, 20, 57
2024-09-06, 21, 56
2024-09-07, 21, 55
2024-09-08, 21, 55
2024-09-09, 20, 57
2024-09-10, 19, 57
2024-09-11, 19, 56
2024-09-12, 19, 56
2024-09-13, 19, 55
2024-09-14, 19, 54
2024-09-15, 19, 54
2024-09-16, 19, 52
2024-09-17, 19, 55
2024-09-18, 17, 57
2024-09-19, 17, 58
2024-09-20, 17, 57
2024-09-21, 15, 54
2024-09-22, 15, 55
2024-09-23, 15, 56
2024-09-24, 16, 54
2024-09-25, 16, 53
2024-09-26, 15, 52
2024-09-27, 15, 54
2024-09-28, 16, 52
2024-09-29, 17, 50
2024-09-30, 17, 51
2024-10-01, 16, 53
2024-10-02, 16, 52
2024-10-03, 16, 53
2024-10-04, 17, 52
2024-10-05, 17, 53
2024-10-06, 16, 53
2024-10-07, 16, 51
2024-10-08, 16, 52
2024-10-09, 17, 51
2024-10-10, 18, 50
2024-10-11, 18, 51
2024-10-12, 18, 53
2024-10-13, 18, 53
2024-10-14, 18, 54
2024-10-15, 18, 55
2024-10-16, 18, 55
2024-10-17, 19, 54
2024-10-18, 19, 52
2024-10-19, 19, 50
2024-10-20, 19, 51
2024-10-21, 19, 49
2024-10-22, 20, 48
2024-10-23, 20, 49
2024-10-24, 20, 48
2024-10-25, 20, 50
2024-10-26, 20, 51
2024-10-27, 20, 50
2024-10-28, 20, 50
2024-10-29, 18, 52
2024-10-30, 19, 51
2024-10-31, 19, 51
2024-11-01, 20, 49
2024-11-02, 20, 48
2024-11-03, 20, 47
2024-11-04, 19, 48
2024-11-05, 19, 48
2024-11-06, 18, 48
2024-11-07, 18, 50
2024-11-08, 17, 51
2024-11-09, 17, 51
2024-11-10, 17, 51
2024-11-11, 17, 51
2024-11-12, 17, 51
2024-11-13, 17, 52
2024-11-14, 17, 52
2024-11-15, 18, 51
2024-11-16, 18, 50
2024-11-17, 18, 50
2024-11-18, 19, 48
2024-11-19, 21, 47
2024-11-20, 20, 49
2024-11-21, 21, 49
2024-11-22, 18, 49
2024-11-23, 18, 49
2024-11-24, 18, 49
2024-11-25, 19, 49
2024-11-26, 19, 50
2024-11-27, 19, 50
2024-11-28, 21, 48
2024-11-29, 23, 47
2024-11-30, 23, 47
2024-12-01, 24, 46
2024-12-02, 23, 50
2024-12-03, 23, 49
2024-12-04, 23, 49
2024-12-05, 23, 49
2024-12-06, 23, 51
2024-12-07, 23, 51
2024-12-08, 22, 52
2024-12-09, 22, 51
2024-12-10, 22, 53
2024-12-11, 21, 53
2024-12-12, 21, 54
2024-12-13, 22, 54
2024-12-14, 22, 55
2024-12-15, 21, 54
2024-12-16, 21, 55
2024-12-17, 21, 55
2024-12-18, 20, 56
2024-12-19, 19, 58
2024-12-20, 19, 59
2024-12-21, 19, 60
2024-12-22, 19, 58
2024-12-23, 19, 57
2024-12-24, 19, 60
2024-12-25, 19, 56
2024-12-26, 19, 54
2024-12-27, 19, 54
2024-12-28, 20, 52
2024-12-29, 18, 53
2024-12-30, 18, 55
2024-12-31, 19, 57
2025-01-01, 19, 56
2025-01-02, 18, 59
2025-01-03, 18, 58
2025-01-04, 17, 59
2025-01-05, 17, 58
2025-01-06, 17, 56
2025-01-07, 16, 58
2025-01-08, 16, 57
2025-01-09, 16, 59
2025-01-10, 16, 60
2025-01-11, 16, 63
2025-01-12, 16, 61
2025-01-13, 16, 59
2025-01-14, 16, 60
2025-01-15, 15, 64
2025-01-16, 15, 64
2025-01-17, 15, 63
2025-01-18, 14, 63
2025-01-19, 14, 64
2025-01-20, 14, 63
2025-01-21, 13, 63
2025-01-22, 13, 63
2025-01-23, 13, 61
2025-01-24, 13, 64
2025-01-25, 13, 65
2025-01-26, 13, 64
2025-01-27, 13, 64
2025-01-28, 13, 65
2025-01-29, 12, 65
2025-01-30, 12, 62
2025-01-31, 12, 62
2025-02-01, 12, 63
2025-02-02, 12, 62
2025-02-03, 12, 62
2025-02-04, 12, 61
2025-02-05, 12, 57
2025-02-06, 12, 58
2025-02-07, 12, 58
2025-02-08, 13, 56
2025-02-09, 13, 55
2025-02-10, 14, 52
2025-02-11, 13, 54
2025-02-12, 13, 53
2025-02-13, 13, 52
2025-02-14, 12, 51
2025-02-15, 13, 50
2025-02-16, 13, 50
2025-02-17, 13, 51
2025-02-18, 14, 50
2025-02-19, 14, 49
2025-02-20, 15, 49
2025-02-21, 15, 47
2025-02-22, 15, 47
2025-02-23, 15, 47
2025-02-24, 15, 47
2025-02-25, 17, 46
2025-02-26, 17, 46
2025-02-27, 17, 44
2025-02-28, 17, 45
2025-03-01, 16, 48
2025-03-02, 16, 49
2025-03-03, 16, 46
2025-03-04, 17, 46
2025-03-05, 17, 45
2025-03-06, 17, 46
2025-03-07, 17, 48
2025-03-08, 17, 48
2025-03-09, 16, 47
2025-03-10, 16, 46
2025-03-11, 15, 47
2025-03-12, 14, 48
2025-03-13, 14, 48
2025-03-14, 14, 49
2025-03-15, 14, 50
2025-03-16, 14, 50
2025-03-17, 14, 50
2025-03-18, 14, 50
2025-03-19, 14, 48
2025-03-20, 14, 48
2025-03-21, 14, 47
2025-03-22, 14, 47
2025-03-23, 14, 47
2025-03-24, 12, 49
2025-03-25, 11, 50
2025-03-26, 11, 51
2025-03-27, 11, 50
2025-03-28, 11, 46
2025-03-29, 11, 46
2025-03-30, 10, 47
2025-03-31, 8, 49
2025-04-01, 8, 50
2025-04-02, 8, 50
2025-04-03, 8, 48
2025-04-04, 8, 47
2025-04-05, 8, 48
2025-04-06, 8, 47
2025-04-07, 8, 48
2025-04-08, 9, 45
2025-04-09, 7, 48
2025-04-10, 7, 48
2025-04-11, 7, 49
2025-04-12, 7, 47
2025-04-13, 7, 46
2025-04-14, 9, 45
2025-04-15, 9, 45
2025-04-16, 9, 46
2025-04-17, 9, 46
2025-04-18, 9, 46
2025-04-19, 10, 47
2025-04-20, 10, 48
2025-04-21, 10, 48
2025-04-22, 10, 48
2025-04-23, 10, 50
2025-04-24, 10, 50
2025-04-25, 10, 49
2025-04-26, 10, 48
2025-04-27, 10, 48
2025-04-28, 10, 49
2025-04-29, 10, 49
2025-04-30, 10, 49
2025-05-01, 10, 50
2025-05-02, 10, 50
2025-05-03, 11, 49
2025-05-04, 11, 49
2025-05-05, 11, 50
2025-05-06, 10, 53
2025-05-07, 10, 53
2025-05-08, 10, 53
2025-05-09, 10, 51
2025-05-10, 10, 51
2025-05-11, 10, 50
2025-05-12, 9, 51
2025-05-13, 9, 51
2025-05-14, 9, 51
2025-05-15, 9, 51
2025-05-16, 8, 52
2025-05-17, 8, 53
2025-05-18, 8, 53
2025-05-19, 8, 54
2025-05-20, 9, 52
2025-05-21, 9, 50
2025-05-22, 9, 50
2025-05-23, 9, 51
2025-05-24, 8, 51
2025-05-25, 8, 52
2025-05-26, 9, 50
2025-05-27, 9, 49
2025-05-28, 9, 49
2025-05-29, 8, 49
2025-05-30, 8, 48
2025-05-31, 8, 49
2025-06-01, 8, 48
2025-06-02, 8, 47
2025-06-03, 8, 48
2025-06-04, 8, 48
2025-06-05, 8, 48
2025-06-06, 8, 48
2025-06-07, 8, 48
2025-06-08, 8, 48
2025-06-09, 8, 49
2025-06-10, 8, 49
2025-06-11, 8, 48
2025-06-12, 8, 48
2025-06-13, 7, 47
2025-06-14, 7, 46
2025-06-15, 7, 45
2025-06-16, 6, 46
2025-06-17, 6, 45
2025-06-18, 6, 46
2025-06-19, 7, 47
2025-06-20, 7, 47
2025-06-21, 7, 48
2025-06-22, 7, 48
2025-06-23, 7, 48
2025-06-24, 7, 47
2025-06-25, 7, 48
2025-06-26, 7, 48
2025-06-27, 6, 48
2025-06-28, 6, 49
2025-06-29, 6, 49
2025-06-30, 6, 49
2025-07-01, 6, 49
2025-07-02, 6, 47
2025-07-03, 6, 47
2025-07-04, 6, 49
2025-07-05, 6, 48
2025-07-06, 6, 47
2025-07-07, 6, 47
2025-07-08, 6, 46
2025-07-09, 7, 46
2025-07-10, 7, 46
2025-07-11, 7, 46
2025-07-12, 7, 44
2025-07-13, 7, 44
2025-07-14, 9, 42
2025-07-15, 9, 42
2025-07-16, 9, 42
2025-07-17, 10, 40
2025-07-18, 11, 39
2025-07-19, 11, 38
2025-07-20, 11, 38
2025-07-21, 11, 38
2025-07-22, 11, 38
2025-07-23, 11, 36
2025-07-24, 11, 37
2025-07-25, 11, 37
2025-07-26, 11, 36
2025-07-27, 11, 36
2025-07-28, 11, 36
2025-07-29, 13, 34
2025-07-30, 13, 34
2025-07-31, 13, 34
2025-08-01, 13, 34
2025-08-02, 13, 34
2025-08-03, 13, 34
2025-08-04, 13, 33
2025-08-05, 13, 33
2025-08-06, 13, 34
2025-08-07, 13, 32
2025-08-08, 13, 32
2025-08-09, 13, 30
2025-08-10, 13, 33
2025-08-11, 13, 32
2025-08-12, 11, 34
2025-08-13, 11, 35
2025-08-14, 11, 36
2025-08-15, 11, 36
2025-08-16, 11, 36
2025-08-17, 10, 40
2025-08-18, 9, 41
2025-08-19, 9, 41
2025-08-20, 9, 42
2025-08-21, 10, 41
2025-08-22, 10, 41
2025-08-23, 10, 42
2025-08-24, 11, 40
2025-08-25, 11, 40
