Date, Organic keywords: 1–3, Organic keywords: 4–10
2024-07-14, 117, 281
2024-07-15, 119, 278
2024-07-16, 121, 279
2024-07-17, 120, 280
2024-07-18, 121, 283
2024-07-19, 117, 284
2024-07-20, 116, 291
2024-07-21, 117, 291
2024-07-22, 116, 292
2024-07-23, 113, 295
2024-07-24, 110, 297
2024-07-25, 108, 295
2024-07-26, 111, 289
2024-07-27, 113, 286
2024-07-28, 113, 289
2024-07-29, 114, 291
2024-07-30, 111, 288
2024-07-31, 111, 288
2024-08-01, 110, 290
2024-08-02, 110, 290
2024-08-03, 110, 292
2024-08-04, 109, 293
2024-08-05, 111, 293
2024-08-06, 112, 294
2024-08-07, 113, 297
2024-08-08, 109, 303
2024-08-09, 106, 301
2024-08-10, 105, 299
2024-08-11, 106, 299
2024-08-12, 108, 295
2024-08-13, 109, 297
2024-08-14, 107, 295
2024-08-15, 106, 299
2024-08-16, 106, 297
2024-08-17, 107, 296
2024-08-18, 104, 301
2024-08-19, 105, 306
2024-08-20, 104, 310
2024-08-21, 102, 311
2024-08-22, 102, 308
2024-08-23, 105, 309
2024-08-24, 104, 306
2024-08-25, 104, 305
2024-08-26, 102, 303
2024-08-27, 101, 301
2024-08-28, 100, 301
2024-08-29, 95, 299
2024-08-30, 94, 298
2024-08-31, 93, 304
2024-09-01, 93, 302
2024-09-02, 93, 298
2024-09-03, 95, 300
2024-09-04, 96, 296
2024-09-05, 97, 292
2024-09-06, 97, 288
2024-09-07, 100, 287
2024-09-08, 102, 289
2024-09-09, 102, 287
2024-09-10, 105, 286
2024-09-11, 106, 284
2024-09-12, 105, 285
2024-09-13, 106, 283
2024-09-14, 106, 283
2024-09-15, 108, 282
2024-09-16, 107, 286
2024-09-17, 109, 283
2024-09-18, 110, 285
2024-09-19, 111, 287
2024-09-20, 114, 285
2024-09-21, 115, 293
2024-09-22, 115, 298
2024-09-23, 113, 303
2024-09-24, 114, 303
2024-09-25, 112, 307
2024-09-26, 112, 309
2024-09-27, 111, 306
2024-09-28, 111, 306
2024-09-29, 110, 304
2024-09-30, 112, 303
2024-10-01, 112, 300
2024-10-02, 114, 300
2024-10-03, 115, 300
2024-10-04, 115, 299
2024-10-05, 116, 297
2024-10-06, 115, 301
2024-10-07, 116, 301
2024-10-08, 117, 299
2024-10-09, 118, 300
2024-10-10, 117, 302
2024-10-11, 116, 299
2024-10-12, 119, 295
2024-10-13, 122, 291
