entry_id,URL,primary_keyword,secondary_keywords,page_type,cluster,word_count,internal_links,source,status,reviewer,notes
carpet-cleaning-bayswater,https://www.twinkleclean.com.au/carpet-cleaning-bayswater/,carpet cleaning bayswater,carpet cleaning in Bayswater; carpet steam cleaning Bayswater; professional carpet cleaners Bayswater; end of lease carpet cleaning Bayswater; pet stain and odour removal; commercial carpet cleaning Bayswater,service-location,service-location-carpet-cleaning,1064,3,approved,exported,,
carpet-cleaning-bentleigh,https://www.twinkleclean.com.au/carpet-cleaning-bentleigh/,carpet cleaning bentleigh,carpet cleaning in Bentleigh; carpet steam cleaning Bentleigh; professional carpet cleaners Bentleigh; end of lease carpet cleaning Bentleigh; pet stain and odour removal; commercial carpet cleaning Bentleigh,service-location,service-location-carpet-cleaning,989,3,approved,exported,,
carpet-cleaning-box-hill,https://www.twinkleclean.com.au/carpet-cleaning-box-hill/,carpet cleaning box hill,carpet cleaning in Box Hill; carpet steam cleaning Box Hill; professional carpet cleaners Box Hill; end of lease carpet cleaning Box Hill; pet stain and odour removal; commercial carpet cleaning Box Hill,service-location,service-location-carpet-cleaning,999,2,approved,exported,,
carpet-cleaning-burwood,https://www.twinkleclean.com.au/carpet-cleaning-burwood/,carpet cleaning burwood,carpet cleaning in Burwood; carpet steam cleaning Burwood; professional carpet cleaners Burwood; end of lease carpet cleaning Burwood; pet stain and odour removal; commercial carpet cleaning Burwood,service-location,service-location-carpet-cleaning,1052,2,approved,exported,,
carpet-cleaning-camberwell,https://www.twinkleclean.com.au/carpet-cleaning-camberwell/,carpet cleaning camberwell,carpet cleaning in Camberwell; carpet steam cleaning Camberwell; professional carpet cleaners Camberwell; end of lease carpet cleaning Camberwell; pet stain and odour removal; commercial carpet cleaning Camberwell,service-location,service-location-carpet-cleaning,1025,4,approved,exported,,
carpet-cleaning-caulfield,https://www.twinkleclean.com.au/carpet-cleaning-caulfield/,carpet cleaning caulfield,carpet cleaning in Caulfield; carpet steam cleaning Caulfield; professional carpet cleaners Caulfield; end of lease carpet cleaning Caulfield; pet stain and odour removal; commercial carpet cleaning Caulfield,service-location,service-location-carpet-cleaning,973,3,approved,exported,,
carpet-cleaning-cheltenham,https://www.twinkleclean.com.au/carpet-cleaning-cheltenham/,carpet cleaning cheltenham,carpet cleaning in Cheltenham; carpet steam cleaning Cheltenham; professional carpet cleaners Cheltenham; end of lease carpet cleaning Cheltenham; pet stain and odour removal; commercial carpet cleaning Cheltenham,service-location,service-location-carpet-cleaning,1017,2,approved,exported,,
carpet-cleaning-croydon,https://www.twinkleclean.com.au/carpet-cleaning-croydon/,carpet cleaning croydon,carpet cleaning in Croydon; carpet steam cleaning Croydon; professional carpet cleaners Croydon; end of lease carpet cleaning Croydon; pet stain and odour removal; commercial carpet cleaning Croydon,service-location,service-location-carpet-cleaning,1014,2,approved,exported,,
carpet-cleaning-dandenong,https://www.twinkleclean.com.au/carpet-cleaning-dandenong/,carpet cleaning dandenong,carpet cleaning in Dandenong; carpet steam cleaning Dandenong; professional carpet cleaners Dandenong; end of lease carpet cleaning Dandenong; pet stain and odour removal; commercial carpet cleaning Dandenong,service-location,service-location-carpet-cleaning,923,3,approved,exported,,
carpet-cleaning-glen-waverley,https://www.twinkleclean.com.au/carpet-cleaning-glen-waverley/,carpet cleaning glen waverley,carpet cleaning in Glen Waverley; carpet steam cleaning Glen Waverley; professional carpet cleaners Glen Waverley; end of lease carpet cleaning Glen Waverley; pet stain and odour removal; commercial carpet cleaning Glen Waverley,service-location,service-location-carpet-cleaning,1032,2,approved,exported,,
