Combined,Volume
"concrete cutting Melbourne","390"
"concrete cutting West Melbourne","0"
"concrete cutting Southbank","0"
"concrete cutting Carlton","0"
"concrete cutting East Melbourne","0"
"concrete cutting North Melbourne","0"
"concrete cutting Docklands","0"
"concrete cutting Fitzroy","0"
"concrete cutting South Wharf","0"
"concrete cutting Parkville","0"
"concrete cutting South Melbourne","0"
"concrete cutting Collingwood","0"
"concrete cutting Carlton North","0"
"concrete cutting Port Melbourne","0"
"concrete cutting Richmond","10"
"concrete cutting South Yarra","0"
"concrete cutting Abbotsford","0"
"concrete cutting Fitzroy North","0"
"concrete cutting Cremorne","0"
"concrete cutting Albert Park","0"
"concrete cutting Kensington","0"
"concrete cutting Clifton Hill","0"
"concrete cutting Princes Hill","0"
"concrete cutting Kew","0"
"concrete cutting Middle Park","0"
"concrete cutting Flemington","0"
"concrete cutting Travancore","0"
"concrete cutting Brunswick","0"
"concrete cutting Brunswick East","0"
"concrete cutting Fairfield","0"
"concrete cutting Prahran","0"
"concrete cutting Burnley","0"
"concrete cutting Brunswick West","0"
"concrete cutting Northcote","0"
"concrete cutting Toorak","0"
"concrete cutting St Kilda","0"
"concrete cutting Windsor","0"
"concrete cutting Footscray","0"
"concrete cutting St Kilda West","0"
"concrete cutting Ascot Vale","10"
"concrete cutting Hawthorn","0"
"concrete cutting Moonee Ponds","0"
"concrete cutting Yarraville","0"
"concrete cutting Spotswood","0"
"concrete cutting Seddon","0"
"concrete cutting St Kilda East","0"
"concrete cutting Alphington","0"
"concrete cutting Armadale","0"
"concrete cutting Maribyrnong","0"
"concrete cutting Thornbury","0"
"concrete cutting Balaclava","0"
"concrete cutting Coburg","0"
"concrete cutting Newport","0"
"concrete cutting Essendon","0"
"concrete cutting Caulfield North","0"
"concrete cutting Elwood","0"
"concrete cutting Kooyong","0"
"concrete cutting Kew East","0"
"concrete cutting Pascoe Vale South","0"
"concrete cutting Malvern","0"
"concrete cutting West Footscray","0"
"concrete cutting Kingsville","0"
"concrete cutting Williamstown","0"
"concrete cutting Ripponlea","0"
"concrete cutting Preston","10"
"concrete cutting Hawthorn East","0"
"concrete cutting Ivanhoe","0"
"concrete cutting Maidstone","0"
"concrete cutting Aberfeldie","0"
"concrete cutting South Kingsville","0"
"concrete cutting Elsternwick","0"
"concrete cutting Glen Iris","0"
"concrete cutting Strathmore","0"
"concrete cutting Brighton","10"
"concrete cutting Williamstown North","0"
"concrete cutting Altona North","0"
"concrete cutting Camberwell","0"
"concrete cutting Canterbury","0"
"concrete cutting Deepdene","0"
"concrete cutting Caulfield","0"
"concrete cutting Balwyn","0"
"concrete cutting Pascoe Vale","0"
"concrete cutting Essendon West","0"
"concrete cutting Coburg North","0"
"concrete cutting Malvern East","0"
"concrete cutting Ivanhoe East","0"
"concrete cutting Bellfield","0"
"concrete cutting Balwyn North","0"
"concrete cutting Essendon North","0"
"concrete cutting Tottenham","0"
"concrete cutting Braybrook","0"
"concrete cutting Brooklyn","0"
