Country,Clicks,Impressions,CTR,Position
Australia,794,101244,0.78%,23.65
South Africa,86,3330,2.58%,11.45
India,12,1903,0.63%,34.64
Philippines,5,683,0.73%,25.83
Japan,4,456,0.88%,22.38
Taiwan,4,355,1.13%,36.69
Singapore,4,274,1.46%,58.53
New Zealand,4,267,1.5%,20.61
United States,3,20956,0.01%,32.85
United Kingdom,3,3904,0.08%,28.91
Malaysia,3,426,0.7%,35.61
Pakistan,3,365,0.82%,27.15
Egypt,2,288,0.69%,36.75
Ireland,2,192,1.04%,34.62
Hong Kong,2,59,3.39%,34.59
Namibia,2,18,11.11%,4.94
South Korea,1,2259,0.04%,37.16
Vietnam,1,848,0.12%,34.41
Germany,1,597,0.17%,34.04
Turkey,1,256,0.39%,34.48
Saudi Arabia,1,190,0.53%,32.53
Thailand,1,182,0.55%,26.19
Poland,1,166,0.6%,33.46
United Arab Emirates,1,133,0.75%,28.5
Nepal,1,70,1.43%,37.94
Jordan,1,56,1.79%,35.45
Nigeria,1,51,1.96%,30.1
Sri Lanka,1,28,3.57%,17.93
Croatia,1,16,6.25%,28.62
Brazil,0,6532,0%,40.12
Russia,0,2275,0%,40.76
Italy,0,1579,0%,36.64
Canada,0,582,0%,32.65
Argentina,0,550,0%,36.67
Indonesia,0,496,0%,31.78
Mexico,0,476,0%,34.47
France,0,404,0%,36.41
Spain,0,312,0%,33.78
Netherlands,0,293,0%,35.46
Lithuania,0,287,0%,36.48
Ukraine,0,277,0%,37.17
Ecuador,0,257,0%,38.36
Colombia,0,256,0%,36.14
Bangladesh,0,244,0%,35.11
Venezuela,0,154,0%,36.87
Iraq,0,151,0%,37.71
Chile,0,138,0%,36.88
Morocco,0,138,0%,37.69
Unknown Region,0,128,0%,38.63
Bulgaria,0,119,0%,39.46
Peru,0,111,0%,34.76
Algeria,0,109,0%,31.2
Sweden,0,103,0%,37.71
Kenya,0,100,0%,32.06
Dominican Republic,0,94,0%,30.07
Iran,0,92,0%,43.18
Kazakhstan,0,89,0%,33.29
Romania,0,89,0%,40.62
Trinidad & Tobago,0,83,0%,39.04
Uzbekistan,0,81,0%,35.58
Jamaica,0,79,0%,32.92
Cyprus,0,77,0%,34.51
Paraguay,0,76,0%,36.68
Moldova,0,76,0%,39.16
Switzerland,0,75,0%,18.55
Greece,0,69,0%,32.57
Israel,0,64,0%,21.25
Tunisia,0,64,0%,31.91
Portugal,0,63,0%,26.75
Belgium,0,62,0%,31.5
Latvia,0,60,0%,36.72
Belarus,0,54,0%,37.52
Norway,0,53,0%,30.13
Czechia,0,53,0%,58.77
Serbia,0,51,0%,37.24
Ethiopia,0,45,0%,28.78
Barbados,0,44,0%,38.32
Uruguay,0,42,0%,41.55
Lebanon,0,40,0%,31.62
Austria,0,39,0%,30.28
Hungary,0,39,0%,35.1
Oman,0,38,0%,33.29
Cambodia,0,37,0%,72.3
Finland,0,36,0%,34.56
Honduras,0,36,0%,34.69
Georgia,0,35,0%,36.69
Bolivia,0,35,0%,39.2
Bosnia & Herzegovina,0,34,0%,29.94
Albania,0,34,0%,41.18
Costa Rica,0,33,0%,35.3
Kuwait,0,30,0%,33.67
Guatemala,0,29,0%,29.69
Azerbaijan,0,29,0%,30.45
Côte d’Ivoire,0,28,0%,25.93
Denmark,0,28,0%,33.36
